LOCNAME,GRADE,ANNUAL1,ANNUAL2,ANNUAL3,ANNUAL4,ANNUAL5,ANNUAL6,ANNUAL7,ANNUAL8,ANNUAL9,ANNUAL10
HNT,15,124560,128712,132864,137016,141168,145320,149472,153623,157775,161927
HOU,1,24747,25576,26399,27217,28041,28522,29335,30157,30188,30962
HOU,2,27825,28487,29408,30188,30531,31429,32328,33226,34125,35023
HOU,3,30359,31371,32383,33395,34407,35418,36430,37442,38454,39465
HOU,4,34082,35218,36354,37489,38625,39760,40896,42032,43167,44303
HOU,5,38132,39403,40675,41946,43217,44489,45760,47031,48302,49574
HOU,6,42505,43921,45337,46753,48169,49586,51002,52418,53834,55250
HOU,7,47234,48808,50383,51957,53531,55106,56680,58254,59828,61403
HOU,8,52310,54054,55798,57543,59287,61031,62775,64520,66264,68008
HOU,9,57777,59703,61629,63555,65481,67407,69333,71259,73186,75112
HOU,10,63626,65747,67868,69990,72111,74232,76353,78474,80595,82716
HOU,11,69904,72234,74565,76895,79226,81556,83887,86217,88548,90878
HOU,12,83787,86580,89372,92165,94958,97751,100544,103337,106130,108923
HOU,13,99632,102953,106275,109596,112917,116238,119559,122880,126202,129523
HOU,14,117736,121661,125585,129510,133434,137359,141283,145208,149132,153057
HOU,15,138489,143105,147721,152338,156954,161570,164200,164200,164200,164200
IND,1,21834,22565,23291,24013,24740,25164,25881,26606,26634,27316
IND,2,24549,25134,25946,26634,26936,27729,28522,29314,30107,30900
IND,3,26785,27678,28570,29463,30356,31248,32141,33034,33926,34819
IND,4,30070,31072,32074,33076,34077,35079,36081,37083,38085,39087
IND,5,33643,34764,35886,37008,38129,39251,40372,41494,42616,43737
IND,6,37500,38750,39999,41249,42498,43748,44997,46247,47496,48746
IND,7,41673,43062,44451,45840,47229,48618,50007,51396,52785,54174
IND,8,46151,47690,49229,50768,52307,53846,55385,56924,58463,60001
IND,9,50975,52674,54374,56073,57772,59471,61171,62870,64569,66269
IND,10,56136,58007,59878,61750,63621,65492,67363,69235,71106,72977
IND,11,61674,63730,65786,67842,69898,71955,74011,76067,78123,80179
IND,12,73922,76386,78850,81315,83779,86243,88707,91171,93635,96099
IND,13,87902,90833,93763,96693,99623,102553,105483,108414,111344,114274
IND,14,103875,107337,110800,114262,117725,121187,124650,128112,131575,135037
IND,15,122184,126257,130330,134403,138475,142548,146621,150693,154766,158839
KC,1,21809,22540,23265,23986,24712,25136,25852,26576,26604,27286
KC,2,24521,25105,25917,26604,26906,27698,28490,29282,30073,30865
KC,3,26755,27647,28539,29430,30322,31213,32105,32997,33888,34780
KC,4,30036,31037,32038,33039,34039,35040,36041,37042,38042,39043
KC,5,33605,34726,35846,36966,38087,39207,40327,41448,42568,43688
KC,6,37459,38707,39955,41203,42451,43699,44947,46195,47443,48691
KC,7,41626,43014,44401,45789,47176,48563,49951,51338,52726,54113
KC,8,46100,47637,49174,50711,52248,53786,55323,56860,58397,59934
KC,9,50918,52615,54313,56010,57708,59405,61102,62800,64497,66194
KC,10,56073,57942,59811,61680,63550,65419,67288,69157,71026,72896
KC,11,61605,63659,65713,67766,69820,71874,73928,75982,78035,80089
KC,12,73840,76301,78762,81224,83685,86146,88608,91069,93530,95991
KC,13,87804,90731,93658,96585,99512,102439,105365,108292,111219,114146
KC,14,103759,107217,110676,114134,117593,121052,124510,127969,131428,134886
KC,15,122048,126116,130184,134252,138320,142389,146457,150525,154593,158661
LA,1,24528,25349,26165,26976,27792,28268,29074,29889,29920,30687
LA,2,27578,28234,29147,29920,30260,31150,32041,32931,33822,34712
LA,3,30090,31093,32095,33098,34101,35104,36107,37109,38112,39115
LA,4,33780,34905,36031,37156,38282,39407,40533,41658,42784,43909
LA,5,37793,39053,40313,41573,42833,44093,45353,46613,47873,49133
LA,6,42127,43531,44934,46338,47742,49145,50549,51952,53356,54760
LA,7,46815,48375,49935,51496,53056,54616,56176,57737,59297,60857
LA,8,51845,53574,55303,57032,58760,60489,62218,63947,65675,67404
LA,9,57264,59173,61082,62991,64900,66809,68718,70627,72536,74444
LA,10,63061,65164,67266,69368,71470,73572,75674,77777,79879,81981
LA,11,69283,71593,73903,76212,78522,80832,83142,85452,87761,90071
LA,12,83043,85811,88579,91347,94115,96883,99651,102419,105187,107955
LA,13,98747,102039,105331,108622,111914,115206,118497,121789,125081,128373
LA,14,116690,120580,124470,128359,132249,136139,140028,143918,147808,151698
LA,15,137259,141834,146409,150985,155560,160135,164200,164200,164200,164200
LR,1,22054,22792,23526,24255,24989,25417,26141,26874,26902,27591
LR,2,24796,25387,26207,26902,27207,28008,28809,29609,30410,31211
LR,3,27055,27956,28858,29760,30661,31563,32465,33366,34268,35170
LR,4,30373,31385,32397,33409,34421,35432,36444,37456,38468,39480
LR,5,33981,35114,36247,37380,38513,39646,40779,41912,43045,44178
LR,6,37878,39140,40402,41664,42926,44188,45450,46712,47974,49236
LR,7,42093,43496,44898,46301,47704,49107,50510,51913,53316,54719
LR,8,46616,48170,49725,51279,52834,54388,55942,57497,59051,60605
LR,9,51488,53205,54921,56637,58354,60070,61786,63503,65219,66936
LR,10,56701,58591,60481,62371,64261,66151,68042,69932,71822,73712
LR,11,62295,64372,66448,68525,70602,72679,74756,76832,78909,80986
LR,12,74666,77155,79644,82133,84622,87111,89600,92089,94577,97066
LR,13,88787,91747,94707,97666,100626,103586,106545,109505,112465,115424
LR,14,104920,108418,111915,115412,118910,122407,125904,129402,132899,136396
LR,15,123414,127528,131642,135755,139869,143983,148097,152210,156324,160438
LV,1,21883,22615,23343,24067,24795,25220,25939,26666,26694,27377
LV,2,24604,25190,26004,26694,26997,27791,28585,29380,30174,30969
LV,3,26845,27740,28634,29529,30424,31318,32213,33108,34002,34897
LV,4,30137,31141,32145,33150,34154,35158,36162,37166,38170,39174
LV,5,33718,34842,35966,37090,38215,39339,40463,41587,42711,43835
LV,6,37584,38837,40089,41341,42593,43846,45098,46350,47602,48855
LV,7,41766,43158,44550,45942,47335,48727,50119,51511,52903,54295
LV,8,46255,47797,49339,50882,52424,53966,55509,57051,58593,60136
LV,9,51089,52792,54495,56198,57901,59604,61308,63011,64714,66417
LV,10,56261,58137,60012,61888,63763,65639,67514,69390,71265,73141
LV,11,61812,63873,65933,67994,70055,72115,74176,76237,78298,80358
LV,12,74088,76557,79027,81496,83966,86436,88905,91375,93844,96314
LV,13,88099,91036,93972,96909,99846,102783,105719,108656,111593,114529
LV,14,104107,107577,111048,114518,117988,121458,124929,128399,131869,135339
LV,15,122458,126540,130621,134703,138785,142867,146949,151030,155112,159194
MFL,1,23038,23809,24576,25337,26104,26552,27308,28074,28103,28823
MFL,2,25903,26520,27377,28103,28422,29258,30095,30931,31767,32604
MFL,3,28262,29204,30146,31088,32030,32972,33914,34856,35797,36739
MFL,4,31728,32785,33843,34900,35957,37014,38071,39128,40185,41243
MFL,5,35498,36682,37865,39049,40232,41416,42599,43782,44966,46149
MFL,6,39569,40887,42205,43524,44842,46160,47479,48797,50116,51434
MFL,7,43971,45437,46902,48368,49834,51299,52765,54230,55696,57161
MFL,8,48697,50320,51944,53568,55192,56815,58439,60063,61687,63310
MFL,9,53786,55579,57372,59165,60958,62751,64544,66337,68130,69923
MFL,10,59231,61206,63180,65155,67129,69104,71078,73053,75027,77002
MFL,11,65075,67245,69414,71584,73753,75923,78092,80262,82431,84601
MFL,12,77999,80599,83199,85799,88399,90999,93599,96199,98799,101399
MFL,13,92750,95842,98934,102025,105117,108209,111301,114392,117484,120576
MFL,14,109603,113257,116910,120564,124217,127871,131524,135177,138831,142484
MFL,15,128923,133220,137517,141815,146112,150409,154707,159004,163301,164200
MIL,1,22568,23324,24075,24821,25572,26010,26752,27501,27530,28235
MIL,2,25375,25979,26819,27530,27842,28662,29481,30301,31120,31939
MIL,3,27686,28609,29532,30454,31377,32300,33222,34145,35068,35990
MIL,4,31081,32117,33153,34188,35224,36259,37295,38331,39366,40402
MIL,5,34775,35934,37093,38253,39412,40571,41731,42890,44049,45209
MIL,6,38762,40053,41345,42636,43928,45219,46511,47803,49094,50386
MIL,7,43075,44511,45946,47382,48818,50253,51689,53125,54560,55996
MIL,8,47704,49295,50885,52476,54067,55657,57248,58839,60429,62020
MIL,9,52690,54446,56203,57959,59716,61472,63228,64985,66741,68498
MIL,10,58024,59958,61893,63827,65761,67695,69630,71564,73498,75432
MIL,11,63749,65874,67999,70125,72250,74375,76500,78626,80751,82876
MIL,12,76409,78956,81503,84050,86597,89144,91691,94238,96785,99332
MIL,13,90859,93888,96917,99946,102974,106003,109032,112061,115089,118118
MIL,14,107369,110948,114527,118106,121685,125264,128843,132422,136001,139580
MIL,15,126295,130504,134714,138924,143134,147343,151553,155763,159972,164182
MSP,1,23175,23951,24722,25488,26259,26710,27471,28241,28270,28994
MSP,2,26057,26678,27540,28270,28591,29432,30274,31115,31957,32798
MSP,3,28431,29378,30326,31273,32221,33168,34116,35063,36010,36958
MSP,4,31917,32981,34044,35107,36171,37234,38298,39361,40425,41488
MSP,5,35709,36900,38090,39281,40472,41662,42853,44043,45234,46424
MSP,6,39804,41130,42457,43783,45109,46435,47761,49088,50414,51740
MSP,7,44233,45707,47182,48656,50130,51604,53079,54553,56027,57502
MSP,8,48987,50620,52253,53887,55520,57154,58787,60420,62054,63687
MSP,9,54106,55910,57714,59517,61321,63125,64928,66732,68536,70339
MSP,10,59584,61570,63557,65543,67529,69515,71502,73488,75474,77460
MSP,11,65463,67645,69827,72010,74192,76375,78557,80739,82922,85104
MSP,12,78463,81079,83694,86310,88925,91541,94156,96771,99387,102002
MSP,13,93302,96412,99523,102633,105743,108853,111963,115073,118184,121294
MSP,14,110256,113931,117606,121281,124957,128632,132307,135982,139657,143332
MSP,15,129690,134013,138336,142659,146982,151305,155628,159950,164200,164200
NY,1,24821,25652,26478,27298,28124,28606,29421,30246,30278,31053
NY,2,27907,28572,29495,30278,30621,31522,32423,33325,34226,35127
NY,3,30449,31464,32479,33494,34508,35523,36538,37553,38567,39582
NY,4,34183,35322,36461,37600,38739,39878,41017,42156,43295,44434
NY,5,38245,39520,40795,42070,43345,44620,45895,47170,48445,49721
NY,6,42630,44051,45471,46892,48312,49732,51153,52573,53994,55414
NY,7,47374,48953,50532,52111,53690,55269,56848,58427,60006,61584
NY,8,52465,54214,55964,57713,59462,61212,62961,64711,66460,68209
NY,9,57948,59880,61812,63743,65675,67607,69539,71470,73402,75334
NY,10,63815,65942,68069,70197,72324,74451,76579,78706,80833,82960
NY,11,70111,72448,74786,77123,79460,81798,84135,86472,88810,91147
NY,12,84035,86836,89637,92438,95239,98040,100842,103643,106444,109245
NY,13,99927,103258,106589,109920,113251,116582,119913,123244,126575,129906
NY,14,118085,122021,125957,129893,133829,137765,141701,145638,149574,153510
NY,15,138899,143529,148159,152789,157418,162048,164200,164200,164200,164200
PB,1,21777,22507,23231,23951,24676,25099,25814,26538,26565,27246
PB,2,24486,25069,25879,26565,26867,27657,28448,29239,30029,30820
PB,3,26716,27606,28497,29387,30277,31168,32058,32948,33839,34729
PB,4,29992,30992,31991,32990,33990,34989,35988,36987,37987,38986
PB,5,33556,34675,35793,36912,38031,39150,40268,41387,42506,43624
PB,6,37404,38650,39896,41142,42389,43635,44881,46127,47374,48620
PB,7,41566,42951,44336,45722,47107,48492,49878,51263,52648,54034
PB,8,46032,47567,49102,50637,52172,53707,55242,56777,58312,59847
PB,9,50843,52538,54233,55928,57623,59318,61013,62708,64403,66097
PB,10,55991,57857,59724,61590,63457,65323,67190,69056,70922,72789
PB,11,61515,63566,65616,67667,69718,71769,73820,75870,77921,79972
PB,12,73731,76189,78647,81105,83562,86020,88478,90935,93393,95851
PB,13,87676,90598,93521,96443,99366,102289,105211,108134,111056,113979
PB,14,103607,107060,110514,113967,117421,120874,124328,127782,131235,134689
PB,15,121869,125931,129993,134056,138118,142180,146242,150304,154367,158429
PHL,1,23404,24188,24967,25740,26519,26974,27742,28520,28550,29281
PHL,2,26315,26941,27812,28550,28874,29723,30573,31423,32273,33122
PHL,3,28712,29669,30625,31582,32539,33496,34453,35410,36367,37323
PHL,4,32233,33307,34381,35455,36529,37603,38676,39750,40824,41898
PHL,5,36063,37265,38467,39669,40872,42074,43276,44479,45681,46883
PHL,6,40198,41537,42876,44216,45555,46894,48234,49573,50912,52252
PHL,7,44670,46159,47648,49137,50626,52115,53604,55092,56581,58070
PHL,8,49471,51121,52770,54420,56069,57719,59368,61018,62668,64317
PHL,9,54641,56463,58284,60106,61927,63749,65570,67392,69213,71035
PHL,10,60173,62179,64185,66191,68197,70203,72209,74215,76220,78226
PHL,11,66110,68314,70518,72722,74926,77130,79334,81538,83742,85946
PHL,12,79239,81881,84522,87163,89804,92446,95087,97728,100370,103011
PHL,13,94225,97366,100507,103648,106789,109929,113070,116211,119352,122493
PHL,14,111346,115058,118769,122481,126192,129904,133615,137327,141038,144750
PHL,15,130973,135338,139704,144070,148435,152801,157167,161532,164200,164200
PIT,1,22232,22976,23716,24451,25191,25623,26353,27091,27120,27815
PIT,2,24997,25592,26419,27120,27428,28235,29042,29849,30656,31463
PIT,3,27274,28183,29092,30001,30909,31818,32727,33636,34545,35454
PIT,4,30618,31639,32659,33679,34699,35719,36739,37760,38780,39800
PIT,5,34256,35398,36541,37683,38825,39967,41109,42251,43393,44535
PIT,6,38184,39457,40729,42001,43273,44546,45818,47090,48363,49635
PIT,7,42433,43847,45262,46676,48090,49505,50919,52333,53747,55162
PIT,8,46993,48560,50127,51694,53261,54828,56395,57962,59529,61096
PIT,9,51905,53635,55365,57096,58826,60556,62286,64017,65747,67477
PIT,10,57159,59065,60970,62876,64781,66687,68592,70498,72403,74308
PIT,11,62799,64892,66986,69080,71173,73267,75361,77454,79548,81641
PIT,12,75271,77780,80289,82798,85307,87816,90325,92834,95343,97852
PIT,13,89506,92489,95473,98457,101440,104424,107407,110391,113375,116358
PIT,14,105769,109295,112821,116346,119872,123398,126923,130449,133975,137500
PIT,15,124413,128560,132707,136854,141001,145148,149295,153442,157589,161736
POR,1,23017,23788,24554,25315,26081,26528,27284,28048,28078,28797
POR,2,25880,26496,27352,28078,28396,29232,30068,30903,31739,32575
POR,3,28237,29178,30119,31060,32001,32942,33883,34824,35765,36706
POR,4,31700,32756,33812,34868,35925,36981,38037,39093,40149,41206
POR,5,35466,36649,37831,39014,40196,41378,42561,43743,44926,46108
POR,6,39533,40850,42167,43485,44802,46119,47436,48753,50071,51388
POR,7,43932,45396,46860,48325,49789,51253,52717,54182,55646,57110
POR,8,48653,50275,51898,53520,55142,56764,58387,60009,61631,63254
POR,9,53738,55529,57321,59112,60904,62695,64486,66278,68069,69860
POR,10,59178,61151,63124,65097,67069,69042,71015,72987,74960,76933
POR,11,65017,67184,69352,71520,73687,75855,78022,80190,82357,84525
POR,12,77929,80527,83124,85722,88320,90917,93515,96113,98710,101308
POR,13,92667,95756,98845,101934,105023,108112,111201,114290,117379,120468
POR,14,109505,113155,116805,120456,124106,127756,131406,135056,138706,142357
POR,15,128807,133101,137394,141688,145981,150274,154568,158861,163155,164200
PX,1,22371,23120,23864,24604,25348,25783,26518,27261,27289,27989
PX,2,25153,25752,26584,27289,27599,28411,29223,30036,30848,31660
PX,3,27444,28359,29274,30188,31103,32017,32932,33847,34761,35676
PX,4,30810,31836,32863,33889,34916,35943,36969,37996,39022,40049
PX,5,34471,35620,36769,37918,39067,40217,41366,42515,43664,44814
PX,6,38423,39703,40984,42264,43544,44824,46105,47385,48665,49945
PX,7,42699,44122,45545,46968,48391,49814,51237,52660,54084,55507
PX,8,47287,48864,50441,52017,53594,55171,56748,58324,59901,61478
PX,9,52229,53970,55711,57453,59194,60935,62676,64417,66158,67899
PX,10,57517,59434,61352,63269,65186,67104,69021,70938,72856,74773
PX,11,63192,65298,67405,69512,71618,73725,75832,77938,80045,82152
PX,12,75741,78266,80791,83315,85840,88365,90889,93414,95939,98464
PX,13,90065,93068,96070,99072,102074,105077,108079,111081,114083,117086
PX,14,106431,109978,113526,117074,120621,124169,127717,131265,134812,138360
PX,15,125191,129364,133537,137710,141883,146056,150228,154401,158574,162747
RA,1,22452,23204,23951,24693,25440,25876,26614,27359,27388,28090
RA,2,25244,25845,26680,27388,27699,28514,29329,30144,30959,31774
RA,3,27543,28461,29379,30297,31215,32133,33051,33969,34887,35805
RA,4,30921,31951,32982,34012,35042,36072,37103,38133,39163,40193
RA,5,34595,35748,36902,38055,39209,40362,41515,42669,43822,44975
RA,6,38562,39847,41132,42416,43701,44986,46271,47556,48841,50125
RA,7,42853,44281,45709,47137,48566,49994,51422,52851,54279,55707
RA,8,47458,49040,50623,52205,53788,55370,56952,58535,60117,61700
RA,9,52418,54165,55913,57660,59407,61155,62902,64650,66397,68144
RA,10,57725,59649,61573,63497,65422,67346,69270,71194,73119,75043
RA,11,63420,65534,67648,69763,71877,73991,76106,78220,80334,82448
RA,12,76015,78549,81082,83616,86150,88684,91218,93751,96285,98819
RA,13,90391,93404,96417,99430,102443,105456,108469,111482,114495,117508
RA,14,106815,110376,113936,117497,121057,124618,128178,131739,135299,138860
RA,15,125643,129831,134019,138207,142395,146583,150771,154959,159147,163335
RCH,1,22315,23062,23804,24542,25284,25718,26451,27192,27221,27918
RCH,2,25090,25687,26517,27221,27530,28340,29150,29960,30770,31580
RCH,3,27375,28287,29200,30112,31024,31937,32849,33761,34674,35586
RCH,4,30732,31756,32780,33804,34828,35852,36876,37900,38924,39948
RCH,5,34384,35530,36676,37823,38969,40115,41262,42408,43554,44701
RCH,6,38326,39603,40880,42157,43434,44711,45988,47265,48542,49819
RCH,7,42591,44011,45430,46850,48269,49689,51108,52528,53947,55367
RCH,8,47168,48741,50314,51886,53459,55032,56605,58177,59750,61323
RCH,9,52098,53834,55571,57308,59045,60781,62518,64255,65991,67728
RCH,10,57372,59285,61197,63110,65022,66935,68847,70760,72672,74585
RCH,11,63032,65134,67235,69337,71438,73539,75641,77742,79844,81945
RCH,12,75550,78069,80587,83105,85624,88142,90661,93179,95697,98216
RCH,13,89839,92833,95828,98823,101817,104812,107807,110801,113796,116791
RCH,14,106163,109701,113240,116779,120318,123856,127395,130934,134473,138011
RCH,15,124876,129038,133200,137363,141525,145688,149850,154012,158175,162337
RUS,1,21672,22398,23119,23835,24557,24978,25689,26409,26437,27114
RUS,2,24367,24948,25754,26437,26737,27524,28311,29097,29884,30671
RUS,3,26587,27473,28359,29245,30131,31017,31903,32789,33675,34561
RUS,4,29847,30842,31836,32831,33825,34820,35814,36809,37803,38798
RUS,5,33394,34507,35620,36734,37847,38960,40074,41187,42300,43414
RUS,6,37223,38463,39703,40944,42184,43424,44664,45905,47145,48385
RUS,7,41365,42743,44122,45501,46879,48258,49637,51015,52394,53773
RUS,8,45810,47337,48865,50392,51920,53447,54975,56502,58030,59557
RUS,9,50598,52285,53971,55658,57345,59031,60718,62405,64091,65778
RUS,10,55720,57578,59435,61293,63150,65008,66865,68722,70580,72437
RUS,11,61218,63259,65299,67340,69381,71422,73463,75504,77545,79586
RUS,12,73375,75821,78267,80713,83159,85605,88050,90496,92942,95388
RUS,13,87252,90161,93069,95977,98886,101794,104703,107611,110520,113428
RUS,14,103106,106543,109980,113417,116854,120291,123727,127164,130601,134038
RUS,15,121280,125323,129366,133408,137451,141493,145536,149578,153621,157663
SAC,1,23455,24240,25021,25796,26576,27032,27803,28582,28612,29345
SAC,2,26372,27000,27872,28612,28936,29788,30639,31491,32342,33194
SAC,3,28774,29733,30692,31651,32610,33569,34528,35486,36445,37404
SAC,4,32303,33379,34455,35531,36608,37684,38760,39837,40913,41989
SAC,5,36141,37346,38551,39755,40960,42165,43370,44575,45780,46985
SAC,6,40285,41627,42969,44312,45654,46996,48338,49681,51023,52365
SAC,7,44767,46259,47751,49244,50736,52228,53720,55212,56704,58196
SAC,8,49578,51231,52884,54538,56191,57844,59497,61150,62803,64456
SAC,9,54760,56585,58411,60236,62062,63887,65713,67538,69363,71189
SAC,10,60304,62314,64324,66334,68345,70355,72365,74375,76386,78396
SAC,11,66253,68462,70671,72880,75088,77297,79506,81715,83923,86132
SAC,12,79411,82058,84705,87352,89999,92646,95293,97940,100587,103234
SAC,13,94429,97577,100725,103872,107020,110168,113315,116463,119611,122759
SAC,14,111587,115307,119027,122746,126466,130185,133905,137624,141344,145064
SAC,15,131257,135632,140007,144382,148757,153132,157507,161882,164200,164200
SD,1,24022,24827,25626,26420,27219,27686,28475,29273,29304,30054
SD,2,27010,27653,28547,29304,29636,30508,31380,32253,33125,33997
SD,3,29470,30452,31434,32416,33398,34381,35363,36345,37327,38309
SD,4,33084,34186,35288,36391,37493,38595,39698,40800,41902,43005
SD,5,37015,38249,39483,40717,41951,43185,44419,45653,46887,48121
SD,6,41259,42634,44009,45383,46758,48133,49507,50882,52257,53632
SD,7,45850,47378,48906,50435,51963,53491,55019,56547,58075,59604
SD,8,50777,52470,54164,55857,57550,59243,60936,62629,64322,66015
SD,9,56084,57954,59824,61693,63563,65432,67302,69172,71041,72911
SD,10,61762,63821,65880,67939,69998,72057,74115,76174,78233,80292
SD,11,67856,70118,72380,74642,76904,79167,81429,83691,85953,88215
SD,12,81332,84043,86754,89465,92176,94887,97598,100309,103020,105731
SD,13,96713,99937,103161,106385,109609,112832,116056,119280,122504,125728
SD,14,114286,118096,121905,125715,129525,133334,137144,140953,144763,148572
SD,15,134431,138912,143393,147874,152355,156836,161317,164200,164200,164200
SEA,1,23502,24289,25071,25848,26630,27086,27858,28639,28669,29403
SEA,2,26424,27054,27928,28669,28994,29847,30701,31554,32407,33260
SEA,3,28832,29792,30753,31714,32675,33636,34597,35558,36518,37479
SEA,4,32367,33446,34524,35603,36681,37759,38838,39916,40995,42073
SEA,5,36213,37420,38628,39835,41042,42250,43457,44664,45872,47079
SEA,6,40365,41710,43055,44400,45745,47090,48435,49780,51125,52470
SEA,7,44857,46352,47847,49342,50837,52332,53827,55322,56817,58313
SEA,8,49677,51334,52990,54647,56303,57960,59616,61273,62929,64586
SEA,9,54869,56699,58528,60357,62186,64015,65844,67673,69502,71331
SEA,10,60424,62439,64453,66467,68481,70496,72510,74524,76539,78553
SEA,11,66386,68599,70812,73025,75239,77452,79665,81878,84091,86305
SEA,12,79570,82222,84875,87527,90179,92832,95484,98136,100789,103441
SEA,13,94618,97772,100926,104080,107234,110388,113542,116696,119850,123004
SEA,14,111811,115538,119265,122992,126719,130446,134173,137900,141627,145354
SEA,15,131519,135903,140287,144671,149055,153439,157823,162206,164200,164200
SF,1,26164,27040,27910,28775,29646,30154,31013,31883,31916,32734
SF,2,29417,30118,31091,31916,32278,33228,34178,35128,36078,37028
SF,3,32097,33167,34236,35306,36376,37445,38515,39585,40654,41724
SF,4,36033,37234,38434,39635,40836,42036,43237,44437,45638,46838
SF,5,40315,41659,43003,44347,45691,47035,48379,49723,51067,52411
SF,6,44937,46435,47932,49429,50926,52424,53921,55418,56915,58413
SF,7,49937,51602,53266,54931,56595,58259,59924,61588,63253,64917
SF,8,55304,57148,58992,60836,62680,64524,66368,68212,70056,71901
SF,9,61084,63120,65157,67193,69229,71265,73302,75338,77374,79410
SF,10,67268,69510,71753,73995,76238,78480,80723,82965,85207,87450
SF,11,73905,76369,78832,81296,83760,86224,88688,91152,93616,96080
SF,12,88582,91535,94488,97440,100393,103346,106298,109251,112204,115157
SF,13,105335,108846,112357,115868,119380,122891,126402,129913,133425,136936
SF,14,124475,128624,132773,136922,141071,145220,149369,153519,157668,161817
SF,15,146415,151296,156176,161056,164200,164200,164200,164200,164200,164200
SL,1,21879,22611,23339,24063,24791,25216,25934,26661,26689,27373
SL,2,24600,25185,26000,26689,26992,27786,28581,29375,30169,30964
SL,3,26841,27735,28629,29524,30418,31313,32207,33102,33996,34891
SL,4,30132,31136,32140,33144,34148,35152,36156,37160,38164,39168
SL,5,33712,34836,35960,37084,38208,39332,40456,41580,42704,43828
SL,6,37578,38830,40082,41334,42586,43838,45090,46342,47594,48846
SL,7,41759,43151,44543,45935,47326,48718,50110,51502,52894,54286
SL,8,46247,47789,49331,50873,52415,53957,55499,57041,58583,60125
SL,9,51080,52783,54486,56189,57891,59594,61297,63000,64703,66405
SL,10,56252,58127,60002,61877,63752,65627,67503,69378,71253,73128
SL,11,61801,63862,65922,67982,70043,72103,74163,76224,78284,80345
SL,12,74075,76544,79013,81482,83952,86421,88890,91359,93828,96297
SL,13,88084,91020,93956,96893,99829,102765,105701,108637,111574,114510
SL,14,104089,107559,111029,114498,117968,121437,124907,128377,131846,135316
SL,15,122437,126518,130599,134680,138761,142842,146923,151005,155086,159167
TU,1,21823,22553,23279,24001,24727,25151,25868,26592,26620,27302
TU,2,24536,25121,25933,26620,26922,27715,28507,29299,30092,30884
TU,3,26771,27664,28556,29448,30340,31232,32124,33017,33909,34801
TU,4,30054,31056,32057,33058,34060,35061,36063,37064,38065,39067
TU,5,33625,34746,35867,36989,38110,39231,40352,41473,42594,43715
TU,6,37481,38730,39979,41228,42476,43725,44974,46223,47472,48721
TU,7,41652,43040,44428,45816,47205,48593,49981,51369,52757,54146
TU,8,46128,47666,49204,50742,52280,53818,55356,56894,58432,59970
TU,9,50949,52647,54345,56044,57742,59441,61139,62838,64536,66234
TU,10,56107,57977,59847,61718,63588,65458,67329,69199,71069,72940
TU,11,61642,63697,65752,67807,69862,71917,73972,76027,78083,80138
TU,12,73884,76347,78810,81273,83735,86198,88661,91124,93587,96049
TU,13,87857,90786,93714,96643,99572,102500,105429,108358,111286,114215
TU,14,103821,107282,110743,114203,117664,121125,124585,128046,131507,134967
TU,15,122121,126192,130263,134333,138404,142474,146545,150616,154686,158757
